t,u_raw,u_sat,u_rate,ref,psi,x,y
60.04,0.85375436,0.85375436,0.85375436,72,71.729855,78.519436,144.84774
60.08,0.88787721,0.88787721,0.88787721,72,71.718788,78.557078,144.96168
60.12,0.9215577,0.9215577,0.9215577,72,71.707863,78.594741,145.07562
60.16,0.95478901,0.95478901,0.95478901,72,71.697081,78.632426,145.18955
60.2,0.98756448,0.98756448,0.98756448,72,71.686446,78.670132,145.30347
60.24,1.0198776,1.0198776,1.0198776,72,71.675958,78.707859,145.41738
60.28,1.0517221,1.0517221,1.0517221,72,71.665621,78.745607,145.53129
60.32,1.0830918,1.0830918,1.0830918,72,71.655436,78.783374,145.64519
60.36,1.1139807,1.1139807,1.1139807,72,71.645405,78.821162,145.75909
60.4,1.144383,1.144383,1.144383,72,71.63553,78.858969,145.87298
60.44,1.174293,1.174293,1.174293,72,71.625813,78.896796,145.98686
60.48,1.2037053,1.2037053,1.2037053,72,71.616256,78.934641,146.10074
60.52,1.2326145,1.2326145,1.2326145,72,71.60686,78.972506,146.21461
60.56,1.2610155,1.2610155,1.2610155,72,71.597627,79.010388,146.32847
60.6,1.2889033,1.2889033,1.2889033,72,71.588559,79.048289,146.44233
60.64,1.3162732,1.3162732,1.3162732,72,71.579657,79.086207,146.55618
60.68,1.3431204,1.3431204,1.3431204,72,71.570923,79.124143,146.67002
60.72,1.3694405,1.3694405,1.3694405,72,71.562359,79.162096,146.78386
60.76,1.3952293,1.3952293,1.3952293,72,71.553965,79.200065,146.8977
60.8,1.4204826,1.4204826,1.4204826,72,71.545743,79.238051,147.01153
60.84,1.4451965,1.4451965,1.4451965,72,71.537694,79.276052,147.12535
60.88,1.4693672,1.4693672,1.4693672,72,71.52982,79.31407,147.23917
60.92,1.4929911,1.4929911,1.4929911,72,71.522122,79.352102,147.35298
60.96,1.5160647,1.5160647,1.5160647,72,71.5146,79.39015,147.46679
61,1.538585,1.538585,1.538585,72,71.507257,79.428212,147.5806
61.04,1.5605487,1.5605487,1.5605487,72,71.500093,79.466288,147.6944
61.08,1.5819529,1.5819529,1.5819529,72,71.493108,79.504379,147.80819
61.12,1.6027949,1.6027949,1.6027949,72,71.486305,79.542482,147.92198
61.16,1.6230722,1.6230722,1.6230722,72,71.479683,79.580599,148.03577
61.2,1.6427823,1.6427823,1.6427823,72,71.473243,79.618729,148.14955
61.24,1.6619231,1.6619231,1.6619231,72,71.466987,79.656871,148.26332
61.28,1.6804925,1.6804925,1.6804925,72,71.460915,79.695025,148.3771
61.32,1.6984885,1.6984885,1.6984885,72,71.455027,79.733191,148.49086
61.36,1.7159096,1.7159096,1.7159096,72,71.449325,79.771368,148.60463
61.4,1.7327541,1.7327541,1.7327541,72,71.443808,79.809556,148.71839
61.44,1.7490206,1.7490206,1.7490206,72,71.438477,79.847755,148.83215
61.48,1.7647081,1.7647081,1.7647081,72,71.433333,79.885964,148.9459
61.52,1.7798154,1.7798154,1.7798154,72,71.428376,79.924183,149.05965
61.56,1.7943417,1.7943417,1.7943417,72,71.423606,79.962411,149.1734
61.6,1.8082862,1.8082862,1.8082862,72,71.419024,80.000649,149.28715
61.64,1.8216485,1.8216485,1.8216485,72,71.414629,80.038895,149.40089
61.68,1.8344282,1.8344282,1.8344282,72,71.410422,80.077149,149.51463
61.72,1.846625,1.846625,1.846625,72,71.406402,80.115411,149.62837
61.76,1.8582389,1.8582389,1.8582389,72,71.402571,80.153681,149.7421
61.8,1.8692701,1.8692701,1.8692701,72,71.398928,80.191959,149.85583
